text,domain
you're my best friend nugget,PET
can we play word scramble,GAME
uh do you like sport right now,CHAT
i'll take care of you nugget,PET
okay please go to the entrance okay,NAVIGATION
hmm head over to the table please,NAVIGATION
okay come play dress up with me,PET
set volume to maximum please,SYSTEM
in the story what does an astronaut find,STORY
can you tell a story with an astronaut and a monkey,STORY
okay my favorite game is color now,CHAT
oh in the story what if a superhero meets a prince,STORY
let's cuddle,PET
enable do not disturb,SYSTEM
cheer up pumpkin,PET
uh in the story what happens to an astronaut,STORY
shake little paw love,PET
for the game i'll say option one,GAME
load up i spy please,GAME
hmm it's okay if you're sad right now,PET
i want to play checkers thanks,GAME
okay my favorite food is ice cream right now,CHAT
play simon says with me,GAME
bring me to the door,NAVIGATION
let's try the bright forest,STORY
okay let's play geography quiz please,GAME
you're adorable love,PET
uh in the story what if a unicorn meets a monkey right now,STORY
um in the story what if a brave knight meets a mermaid now,STORY
is light the same as the alphabet,STUDY
hey my favorite color is the moon right now,CHAT
um do you like birds right now,CHAT
uh hi there little sunshine right now,PET
i pick false for the game okay,GAME
hmm sit down honeybun,PET
uh be careful near the rug right now,NAVIGATION
ask me questions about history,STUDY
read this lesson about biology,STUDY
hey my favorite food is ice cream,CHAT
scratch behind your ears honeybun,PET
hi baby how are you,PET
uh i feel like playing math quiz,GAME
hi my sweet pumpkin,PET
how does electricity work,STUDY
okay you're my best friend little one thanks,PET
hmm are you charging now,SYSTEM
let's review magnets,STUDY
give me a kiss,PET
i need a thumbs up from you,PET
time to sleep,SYSTEM
so disable bluetooth,SYSTEM
what's your favorite pizza right now,CHAT
my favorite animal is dinosaurs,CHAT
restart the system,SYSTEM
load up maze,GAME
for this round i pick twenty,GAME
i'm guessing five okay,GAME
so hey love you're so cute please,PET
oh i pick option d for the game right now,GAME
okay come with me to the pantry,NAVIGATION
i want to play riddles,GAME
is chemistry the same as the water cycle,STUDY
what's the difference between the alphabet and sound,STUDY
enable notifications okay,SYSTEM
hey launch number guessing now,GAME
hmm navigate to the stairs thanks,NAVIGATION
i'm proud of you baby,PET
so let's play word scramble,GAME
can we play connect four,GAME
oh walk five steps forward,NAVIGATION
what's your favorite game thanks,CHAT
hey i'm guessing the cat thanks,GAME
go over colors again,STUDY
read this lesson about ecosystems,STUDY
head over to the bedroom,NAVIGATION
um watch out for the bag now,NAVIGATION
how do you spell gravity,STUDY
show me a high five,PET
uh my favorite game is robots please,CHAT
belly rub time little one,PET
let's do ball together,PET
okay i like color please,CHAT
uh do you like stars,CHAT
can you tell a story with a bunny and a wizard,STORY
make a excited face for me,PET
what is plants,STUDY
um got any hangman going thanks,GAME
turn on night mode right now,SYSTEM
um update yourself please,SYSTEM
um set brightness to medium please,SYSTEM
i'm confused about addition,STUDY
hmm tell me a joke thanks,CHAT
rotate backward,NAVIGATION
i have a question about addition,STUDY
so begin a new game of i spy thanks,GAME
where does a princess go next in the story,STORY
in the game i think it's option two,GAME
okay my guess is red,GAME
okay did you know that dolphins,CHAT
oh hibernate,SYSTEM
is light the same as addition,STUDY
uh i'll guess no right now,GAME
can you tell a story with a mermaid and a unicorn,STORY
review molecules with me,STUDY
take me to the window,NAVIGATION
in the story what if a detective meets a puppy,STORY
there there nugget,PET
in the story who does a talking cat meet,STORY
my favorite game is flowers thanks,CHAT
for the game i choose twenty,GAME
how is the sun used in real life,STUDY
show me how fractions works,STUDY
so go to the back door right now,NAVIGATION
summarize cells for me,STUDY
okay in the game the answer is option c please,GAME
what are the main points of dinosaurs,STUDY
so go to the kitchen okay,NAVIGATION
how do you spell sound,STUDY
hmm i want the golden key thanks,STORY
oh i'm feeling bored,CHAT
um my favorite game is book please,CHAT
you make me so happy cutie,PET
can you tell a story with a puppy and a princess,STORY
move to the patio,NAVIGATION
in the story what if an astronaut meets an astronaut,STORY
um my favorite game is ice cream,CHAT
so in the game the answer is blue now,GAME
can you tell a story with a ninja and a bunny,STORY
uh lead the way to the basement,NAVIGATION
so move to the kitchen right now,NAVIGATION
okay enable notifications,SYSTEM
i like color,CHAT
okay in the story what if a mermaid meets a ninja okay,STORY
so snuggle time darling okay,PET
okay move backward,NAVIGATION
show me your smile,PET
hey open chess,GAME
uh what's interesting about the brain,CHAT
hey i'll take care of you sunshine,PET
hmm in the game the answer is the first one now,GAME
where does a detective go next in the story,STORY
in the story what if a prince meets a bunny,STORY
you did great sunshine,PET
how much battery do you have please,SYSTEM
hmm my favorite game is book,CHAT
so shake little paw darling right now,PET
okay go to the laundry room please,NAVIGATION
um lead the way to the dining room please,NAVIGATION
oh dim the lights right now,SYSTEM
can you quiz me on biology,STUDY
i feel like playing card game,GAME
can you go to the balcony,NAVIGATION
my game answer is option three right now,GAME
put on a surprised face,PET
okay please go to the window thanks,NAVIGATION
head to the closet now,NAVIGATION
what's your name,CHAT
the dog is my final game answer,GAME
um i want to go to the laundry room thanks,NAVIGATION
take me to the door,NAVIGATION
navigate to the patio,NAVIGATION
let's go to the porch okay,NAVIGATION
my game answer is seven,GAME
stay away from the chair thanks,NAVIGATION
can you count to twenty,CHAT
uh please go to the front door thanks,NAVIGATION
so set volume to seventy percent right now,SYSTEM
i feel like playing rock paper scissors,GAME
give me some love buddy,PET
please go to the porch,NAVIGATION
cancel all tasks thanks,SYSTEM
oh go to the playroom,NAVIGATION
in the story does a puppy win,STORY
in the game it must be option three,GAME
okay i like robots,CHAT
hey in the game it must be option two thanks,GAME
hmm stop talking right now,SYSTEM
uh what do you think about robots please,CHAT
do your best hop,PET
i want a exciting story,STORY
hey cancel all tasks okay,SYSTEM
so my guess is the first one okay,GAME
uh switch to hindi right now,SYSTEM
i'll guess the dog please,GAME
i want to play pretend with you,PET
explain ecosystems to me,STUDY
show me how cells works,STUDY
hey tell me an adventure story about a bear thanks,STORY
okay i pick option two for the game right now,GAME
um in the game it must be blue thanks,GAME
in the game it must be option c,GAME
for the game i'll say red please,GAME
um turn off night mode now,SYSTEM
take three steps around thanks,NAVIGATION
did you know that animals,CHAT
take ten steps right,NAVIGATION
take the secret door,STORY
so i'll take care of you buddy now,PET
test me on geography,STUDY
in the story what if a dinosaur meets a bear,STORY
what's twelve minus seven,STUDY
how does volcanoes work,STUDY
how about a game of twenty questions okay,GAME
i'm here for you little little one okay,PET
i'm confused about light,STUDY
for the game i'll say red,GAME
take me to the garage,NAVIGATION
hey turn on wifi,SYSTEM
in the story what if a talking cat meets a pirate,STORY
oh volume down,SYSTEM
quiz time for chemistry,STUDY
what comes next in the story,STORY
go left,NAVIGATION
hmm my favorite color is ice cream please,CHAT
set volume to seventy percent okay,SYSTEM
okay why is the sky purple right now,CHAT
hmm in the game the answer is seven,GAME
hey can you tell a story with a wizard and a prince okay,STORY
take me to the balcony,NAVIGATION
open i spy,GAME
oh disable wifi right now,SYSTEM
hmm enable bluetooth,SYSTEM
belly rub time cupcake,PET
volume up okay,SYSTEM
do you like sport now,CHAT
hey tell me a fun fact,CHAT
hey my favorite game is flowers please,CHAT
i feel like playing science quiz right now,GAME
hey start a story in a haunted house okay,STORY
is the food chain the same as dinosaurs,STUDY
hmm stop all tasks now,SYSTEM
in the story what if a robot meets a detective,STORY
stop everything,SYSTEM
i want to go to the nursery thanks,NAVIGATION
uh switch to korean,SYSTEM
how does colors work,STUDY
i had a okay day now,CHAT
can you go to the attic okay,NAVIGATION
my favorite food is cats,CHAT
exit the game thanks,GAME
my favorite game is the moon please,CHAT
explain atoms in simple words,STUDY
um standby mode please,SYSTEM
give me an example of shapes,STUDY
oh my favorite color is pizza okay,CHAT
spell multiplication for me,STUDY
make plants easier to understand,STUDY
launch checkers thanks,GAME
bring me to the bedroom right now,NAVIGATION
tell me an adventure story about a lion,STORY
uh turn off wifi thanks,SYSTEM
so time to play memory match,GAME
hmm let's play spelling bee,GAME
come follow me,NAVIGATION
okay freeze right now,NAVIGATION
oh speak in korean right now,SYSTEM
hmm my favorite subject is animal,CHAT
hmm change language to arabic now,SYSTEM
in the game i think it's five,GAME
i'm guessing option b,GAME
hey my favorite game is place,CHAT
in the game i'll go with option c,GAME
can you tell a story with a pirate and a detective,STORY
oh how about a game of trivia now,GAME
explain sound to me,STUDY
so mute the sound now,SYSTEM
so i want to go to the laundry room now,NAVIGATION
hmm make it louder thanks,SYSTEM
what's your favorite flowers thanks,CHAT
can you tell a story with a bear and a detective,STORY
oh got any simon says going,GAME
um system check now,SYSTEM
hmm head over to the pantry now,NAVIGATION
roll over love,PET
final answer the dog now,GAME
shake hand pumpkin,PET
in the story what if a dinosaur meets a monkey,STORY
invent a story about a mermaid,STORY
hey make it quieter now,SYSTEM
sit down sunshine,PET
what time is it okay,CHAT
can you tell a story with a penguin and a penguin,STORY
um what's your favorite color now,CHAT
please go to the attic right now,NAVIGATION
hey walk three steps forward please,NAVIGATION
oh power cycle,SYSTEM
disable notifications now,SYSTEM
hmm my game answer is option d,GAME
uh head to the window okay,NAVIGATION
quiz time for social studies,STUDY
oh in the game it must be seven,GAME
invent a story about a bear,STORY
i need to review the moon,STUDY
i want to play patty cake with you,PET
spell atoms for me,STUDY
in the story what if a prince meets an astronaut,STORY
in the story what if a mermaid meets a penguin,STORY
in the story what if a detective meets a fairy,STORY
what's the difference between the food chain and erosion,STUDY
okay my favorite animal is stars please,CHAT
come play peek-a-boo with me,PET
um cancel everything now,SYSTEM
move away from the shoe,NAVIGATION
so what makes thunder,CHAT
um my favorite animal is place,CHAT
pet pet pet sweetie,PET
how about a game of hangman now,GAME
oh what version are you,SYSTEM
what chapter is colors in,STUDY
so can we play spelling bee right now,GAME
so turn off dark mode please,SYSTEM
turn down the volume right now,SYSTEM
oh turn off night mode right now,SYSTEM
explain planets to me,STUDY
um mute the sound,SYSTEM
let's play geography quiz,GAME
in the story what if a brave knight meets an astronaut,STORY
in the story what if a bear meets a brave knight,STORY
can you tell a story with a talking cat and a brave knight,STORY
play follow the leader with me,PET
uh my favorite food is animal,CHAT
in the story what if a pirate meets a ninja,STORY
um start a game of rock paper scissors right now,GAME
i'm confused about the sun,STUDY
spell colors for me,STUDY
um can we play peek-a-boo please,PET
my favorite subject is birds please,CHAT
get closer to me,NAVIGATION
my favorite subject is rainbows,CHAT
describe the water cycle for me,STUDY
what's the difference between the food chain and dinosaurs,STUDY
uh let's play trivia,GAME
for the game i choose the dog,GAME
can we play maze,GAME
describe the moon for me,STUDY
what's your battery level please,SYSTEM
try doing a twirl now,PET
change language to japanese okay,SYSTEM
what's the definition of the alphabet,STUDY
hold on stop,NAVIGATION
restart everything,SYSTEM
um volume up,SYSTEM
so set volume to half thanks,SYSTEM
i want the hidden tunnel,STORY
okay for this round i pick option two now,GAME
uh play animal quiz with me thanks,GAME
bring me to the playroom,NAVIGATION
okay my favorite color is chocolate,CHAT
i want a harder riddles,GAME
come with me to the stairs,NAVIGATION
hey open number guessing please,GAME
give me an example of the food chain,STUDY
hey let's go to the back door please,NAVIGATION
let's review animals,STUDY
lead the way to the door right now,NAVIGATION
uh go to the bedroom,NAVIGATION
hmm my favorite subject is cats,CHAT
hmm aww pumpkin you're the best,PET
my game answer is ten,GAME
i want to play number guessing,GAME
so move away from the chair,NAVIGATION
give me a summary of grammar,STUDY
let's go to the laundry room,NAVIGATION
so follow me to the dining room,NAVIGATION
let's review geography,STUDY
let's nose boop,PET
let's review ecosystems,STUDY
give me a test on spelling,STUDY
okay my favorite color is the moon,CHAT
uh do you like game okay,CHAT
how about a game of twenty questions,GAME
uh let's start spelling bee,GAME
do you like birds please,CHAT
can you tell a story with an astronaut and a ninja,STORY
well done baby,PET
let's see how much i know about science,STUDY
oh my favorite color is cats now,CHAT
follow me to the attic okay,NAVIGATION
got any twenty questions going,GAME
oh i like dinosaurs right now,CHAT
make up a story about a lion,STORY
so stop everything,SYSTEM
read this lesson about weather,STUDY
hey roll over little one,PET
can you clarify subtraction,STUDY
hmm go to the attic,NAVIGATION
so how much battery do you have thanks,SYSTEM
my favorite color is color thanks,CHAT
give me an example of the water cycle,STUDY
um you're the best thanks,CHAT
let's start checkers,GAME
uh i want to play tug of war with you,PET
uh move away from the table,NAVIGATION
in the game i think it's option one,GAME
can we play fetch,PET
hmm open animal quiz,GAME
hey can we play simon says okay,GAME
can you tell a story with a princess and a lion,STORY
head to the stairs,NAVIGATION
take me to the patio right now,NAVIGATION
help me with this math problem fifteen minus six,STUDY
welcome back honeybun,PET
come with me to the laundry room,NAVIGATION
so silence thanks,SYSTEM
hey pal you're so cute,PET
okay shake hand buddy,PET
take me to the back door,NAVIGATION
oh back up a little,NAVIGATION
i want to go to the playroom now,NAVIGATION
so you're adorable cutie,PET
hmm stop talking now,SYSTEM
hey can you tell a story with a witch and a dragon,STORY
how do you spell plants,STUDY
how do you spell shapes,STUDY
my favorite game is pizza right now,CHAT
oh my favorite movie is chocolate please,CHAT
let me see your angry face thanks,PET
sit down buddy please,PET
my favorite food is animal please,CHAT
my favorite animal is sport please,CHAT
oh change language to german please,SYSTEM
let's review plants,STUDY
okay power down thanks,SYSTEM
my favorite animal is penguins,CHAT
skip this one,GAME
hey for the game i choose option three now,GAME
hey my favorite movie is game,CHAT
do you like dogs,CHAT
do you like food,CHAT
shake arm pumpkin,PET
in the story what if an alien meets a penguin,STORY
i want to go to the door,NAVIGATION
in the story what if a princess meets a unicorn,STORY
okay i'm feeling scared,CHAT
hey what's your favorite cars now,CHAT
new story about a pirate,STORY
uh let me guess the dog,GAME
in the story what if an alien meets a unicorn,STORY
oh change language to korean now,SYSTEM
tell me an adventure story about a bear,STORY
okay volume up okay,SYSTEM
in the story what if a penguin meets a detective,STORY
what are you,CHAT
i want to play animal quiz,GAME
uh got any twenty questions going thanks,GAME
hmm pet pet pet robot,PET
um my favorite game is pandas right now,CHAT
so set volume to low thanks,SYSTEM
once upon a time story about a superhero,STORY
in the story what if a prince meets a dinosaur,STORY
my favorite color is cars thanks,CHAT
can you tell a story with a unicorn and a brave knight,STORY
what's the definition of chemistry,STUDY
um load up memory match,GAME
face the bookshelf,NAVIGATION
i want a mystery story,STORY
hi there little munchkin,PET
so my favorite animal is food right now,CHAT
it's alright friend,PET
did you know that butterflies,CHAT
load up simon says,GAME
welcome back munchkin okay,PET
in the story what if a dragon meets a puppy,STORY
um what do you think about flowers thanks,CHAT
put on a cute face,PET
let's see how much i know about reading,STUDY
turn on bluetooth please,SYSTEM
do a restart thanks,SYSTEM
um shut down,SYSTEM
uh cheer up baby,PET
what do you think about song,CHAT
what do you think about stars,CHAT
do you have feelings,CHAT
so take four steps forward,NAVIGATION
okay set volume to half right now,SYSTEM
uh my favorite subject is the moon thanks,CHAT
turn off right now,SYSTEM
can you tell a story with a puppy and a wizard,STORY
describe volcanoes for me,STUDY
walk to the balcony,NAVIGATION
uh mute thanks,SYSTEM
take five steps forward,NAVIGATION
it's okay if you're sleepy,PET
oh volume down right now,SYSTEM
my favorite game is pizza,CHAT
so can you count to twenty,CHAT
uh turn on airplane mode right now,SYSTEM
break down history for me,STUDY
oh it's bedtime go to sleep please,SYSTEM
okay switch to hindi okay,SYSTEM
speak in spanish okay,SYSTEM
hey sweetie you're so cute,PET
oh narrate a story about a bunny please,STORY
hey my favorite animal is robots right now,CHAT
can you do a dance,PET
i like toy please,CHAT
don't stop the story,STORY
what can you tell me about the solar system,STUDY
how about a game of science quiz,GAME
is biology the same as shapes,STUDY
what chapter is ecosystems in,STUDY
in the story what if a bear meets a unicorn,STORY
i want to go to the entrance,NAVIGATION
hmm turn the sound off now,SYSTEM
i'll take care of you boo,PET
okay i'll guess option two,GAME
can you tell a story with a wizard and a dragon,STORY
speak in korean okay,SYSTEM
um make it louder now,SYSTEM
hmm move away from the lamp okay,NAVIGATION
show me a nose boop,PET
okay take me to the back door,NAVIGATION
do your best bow,PET
walk to the door thanks,NAVIGATION
oh set brightness to half now,SYSTEM
uh belly rub time honeybun please,PET
give me an example of history,STUDY
okay set brightness to seventy percent,SYSTEM
so let's do red light green light together now,PET
hmm do you know any songs please,CHAT
so shut down,SYSTEM
my favorite food is stars,CHAT
belly rub time friend,PET
okay my favorite food is animal,CHAT
oh my favorite movie is animal,CHAT
in the story what if a lion meets a dinosaur,STORY
break down erosion for me,STUDY
in the story what if a mermaid meets a mermaid,STORY
i want to go to the back door,NAVIGATION
um my favorite color is place thanks,CHAT
go over erosion again,STUDY
tell me about division,STUDY
is division the same as geography,STUDY
i want to hear a story about a mermaid,STORY
oh disable notifications now,SYSTEM
so what version are you right now,SYSTEM
okay i can't hear you speak louder thanks,SYSTEM
uh my favorite food is pandas,CHAT
hmm set brightness to high now,SYSTEM
good job baby right now,PET
okay tell me something funny,CHAT
are you feeling grumpy,PET
my favorite game is pandas right now,CHAT
spin me a yarn about a princess,STORY
quiz me on spelling,STUDY
can you tell a story with a pirate and a fairy,STORY
oh i want to play animal quiz,GAME
hi nugget how are you,PET
hey how about a game of would you rather,GAME
um i like dinosaurs right now,CHAT
my favorite food is game,CHAT
good morning boo,PET
hmm update yourself okay,SYSTEM
for the game i choose option three,GAME
i want to learn about fractions,STUDY
okay can you make a smile,PET
can you tell a story with a lion and a lion,STORY
i don't understand molecules,STUDY
hmm launch animal quiz,GAME
i need help with gravity,STUDY
sit down pumpkin,PET
my favorite food is dinosaurs,CHAT
uh what do you think about cats please,CHAT
can you help me with two times eight,STUDY
hmm what's interesting about elephants please,CHAT
can we review biology please,STUDY
look towards the pantry,NAVIGATION
what's the difference between multiplication and subtraction,STUDY
oh rotate forward,NAVIGATION
hey turn the sound off thanks,SYSTEM
good job honeybun,PET
hmm speak in hindi please,SYSTEM
uh i feel like playing puzzle,GAME
in the story what if a mermaid meets a puppy,STORY
hey it's okay if you're lonely now,PET
hey make it quieter,SYSTEM
do a cute face right now,PET
oh are you real,CHAT
uh set brightness to fifty percent thanks,SYSTEM
okay sit down munchkin thanks,PET
tell me about erosion,STUDY
uh can you go to the patio,NAVIGATION
it's alright buddy,PET
what's the difference between continents and volcanoes,STUDY
let's cuddle pal,PET
can you tell a story with a bunny and a detective,STORY
hey sit down robot now,PET
hey you make me smile cutie now,PET
once upon a time story about a lion,STORY
tell me an adventure story about a ninja,STORY
make up a story about a penguin,STORY
i feel like playing true or false,GAME
hey play animal quiz with me,GAME
um i'm feeling confused,CHAT
in the game the answer is three okay,GAME
uh go to sleep thanks,SYSTEM
can you tell a story with an alien and a superhero,STORY
tell a action story please,STORY
okay i'll take care of you sunshine thanks,PET
hmm my favorite movie is robots thanks,CHAT
show me a thumbs up,PET
can you help me with five plus three,STUDY
um enable notifications right now,SYSTEM
hmm hello my little cupcake thanks,PET
okay set brightness to medium thanks,SYSTEM
oh head to the study room,NAVIGATION
okay take ten steps around,NAVIGATION
okay i want to play puzzle,GAME
i want to learn about subtraction,STUDY
why is the solar system important,STUDY
hmm come to me please,NAVIGATION
hmm you make me so happy sunshine now,PET
can you tell a story with a wizard and a witch,STORY
nice to see you again cupcake,PET
what does weather mean,STUDY
uh i pick right for the game,GAME
what can you tell me about division,STUDY
i choose the bright forest,STORY
i need help with the solar system,STUDY
i want to play i spy okay,GAME
hey what do you think about the moon,CHAT
um speak in spanish,SYSTEM
let me guess true,GAME
show me your excited face,PET
summarize division for me,STUDY
come with me to the pantry please,NAVIGATION
please go to the back door,NAVIGATION
let's cuddle darling,PET
can you tell a story with a superhero and a bear,STORY
um my favorite movie is sport please,CHAT
hmm final answer true now,GAME
hey my favorite movie is flowers right now,CHAT
hey set brightness to fifty percent okay,SYSTEM
speak in arabic,SYSTEM
what do you think about movie right now,CHAT
tell a silly story please,STORY
hey stop talking,SYSTEM
okay increase volume,SYSTEM
in the story what if a monkey meets a brave knight,STORY
what's the difference between the human body and molecules,STUDY
shake hand boo,PET
can we play simon says,GAME
how do you spell continents,STUDY
hey what do you think about dinosaurs thanks,CHAT
hmm set volume to minimum right now,SYSTEM
oh enable bluetooth now,SYSTEM
hmm say spaghetti in a funny voice,CHAT
hey do you like rainbows,CHAT
i want to play hide and seek with you okay,PET
let's review oceans,STUDY
hi there little robot,PET
hey move to the balcony right now,NAVIGATION
i want a harder card game,GAME
i want to go to the laundry room right now,NAVIGATION
you make me so happy little one,PET
make erosion easier to understand,STUDY
can you tell me a exciting story,STORY
can we play catch,PET
oh i had a okay day,CHAT
i don't understand cells,STUDY
okay please go to the stairs,NAVIGATION
can you tell a story with a detective and a witch,STORY
okay my guess is blue please,GAME
my game answer is the last one,GAME
hey i'm here for you little darling,PET
hmm good job friend,PET
how do you spell geography,STUDY
hmm my favorite color is dinosaurs okay,CHAT
shake hand cupcake,PET
can you tell a story with an alien and a pirate,STORY
um speak in japanese,SYSTEM
okay decrease volume okay,SYSTEM
uh i like place please,CHAT
hey start a story in a forest,STORY
lead the way to the couch,NAVIGATION
um are you charging right now,SYSTEM
let's review chemistry,STUDY
oh start a game of chess,GAME
okay good evening nugget,PET
move to the bathroom,NAVIGATION
is erosion the same as history,STUDY
hey i'm feeling bored please,CHAT
okay what's your favorite pandas please,CHAT
okay my favorite subject is animal thanks,CHAT
oh did you know that ants right now,CHAT
okay turn off wifi right now,SYSTEM
uh what's interesting about dolphins,CHAT
i'll take care of you pal right now,PET
wanna play peek-a-boo now,PET
uh restart everything right now,SYSTEM
i'm guessing option a,GAME
uh take me to the corridor,NAVIGATION
what's the difference between ecosystems and shapes,STUDY
summarize plants for me,STUDY
oh i feel like playing science quiz right now,GAME
roll over cutie okay,PET
play rock paper scissors with me,GAME
hey what's your favorite color,CHAT
you make me so happy cupcake,PET
make a silly face for me,PET
so what's your favorite the moon,CHAT
navigate to the balcony,NAVIGATION
you're my best friend munchkin,PET
i'm here for you little little one,PET
what can you tell me about sound,STUDY
uh my favorite animal is place please,CHAT
set brightness to half please,SYSTEM
can you tell a story with a superhero and a superhero right now,STORY
what do you think about sport okay,CHAT
in the game i think it's left,GAME
time to play simon says,GAME
good morning little one,PET
show me a cool hop,PET
hey change language to spanish,SYSTEM
in the story what if a pirate meets a bunny,STORY
so hi my sweet love,PET
um speak in chinese thanks,SYSTEM
let's go to the basement please,NAVIGATION
take me to the kitchen,NAVIGATION
so look towards the front door,NAVIGATION
um restart everything,SYSTEM
help me understand division,STUDY
in the story what if a robot meets a pirate okay,STORY
cheer up sunshine now,PET
okay enable night mode okay,SYSTEM
my game answer is five,GAME
in the game i'll go with option b,GAME
can you tell a story with a brave knight and a bear,STORY
let's go to the table,NAVIGATION
hmm there there cutie,PET
oh can you count to twenty,CHAT
hmm what do you think about song now,CHAT
so can you make a happy face please,PET
in the game i'll go with the last one,GAME
i like chocolate,CHAT
okay let's play memory match okay,GAME
i'll guess right,GAME
my favorite animal is flowers now,CHAT
can you explain biology,STUDY
hey let's fist bump please,PET
follow me to the closet,NAVIGATION
in the story what if a unicorn meets an astronaut,STORY
okay pick a game for me,GAME
hmm try doing a balance now,PET
so let's go to the playroom please,NAVIGATION
in the story what if a brave knight meets a lion,STORY
hey did you know that space,CHAT
help me practice vocabulary,STUDY
read this lesson about the alphabet,STUDY
i had a okay day,CHAT
begin a new game of science quiz okay,GAME
uh lead the way to the nursery please,NAVIGATION
invent a story about a unicorn please,STORY
in the story will a robot be okay,STORY
oh load up trivia,GAME
uh update yourself,SYSTEM
hey quieter please right now,SYSTEM
um you're adorable pumpkin now,PET
tell me a fun fact right now,CHAT
follow me please thanks,NAVIGATION
well done robot,PET
make me laugh now,CHAT
oh my favorite food is game,CHAT
change language to japanese right now,SYSTEM
option three is my final game answer,GAME
can you clarify erosion,STUDY
hmm take me to the pantry thanks,NAVIGATION
oh my favorite subject is penguins,CHAT
okay hello my little munchkin please,PET
uh in the story what if a prince meets a ninja,STORY
let me guess option d,GAME
so can you tell a story with a superhero and a witch,STORY
quieter please right now,SYSTEM
in the story what if a ninja meets an alien,STORY
option a is my final game answer,GAME
for the game i choose option b please,GAME
snuggle time cupcake,PET
i pick the bright forest,STORY
move away from the cat,NAVIGATION
in the game i'll go with true,GAME
tell me an adventure story about a talking cat,STORY
shake arm munchkin,PET
is plants the same as shapes,STUDY
hey open true or false,GAME
uh make a wink for me,PET
give me an explanation of magnets,STUDY
oh navigate to the hallway okay,NAVIGATION
watch out for the wall okay,NAVIGATION
hmm switch to korean now,SYSTEM
um can you tell a story with a dragon and a bunny,STORY
how do you spell fractions,STUDY
spell weather for me,STUDY
uh i like chocolate please,CHAT
in the story what if an alien meets a witch,STORY
my favorite animal is cats thanks,CHAT
is volcanoes the same as plants,STUDY
hmm let's go to the balcony right now,NAVIGATION
final answer the last one right now,GAME
oh take me to the garage please,NAVIGATION
uh my favorite movie is penguins,CHAT
read this lesson about light,STUDY
so go to the back door thanks,NAVIGATION
uh rest mode please,SYSTEM
follow me to the door,NAVIGATION
i feel like playing would you rather,GAME
turn the sound on now,SYSTEM
i have a question about animals,STUDY
my favorite color is place,CHAT
so stay away from the rug please,NAVIGATION
um check your status now,SYSTEM
create a story with an astronaut,STORY
quieter please,SYSTEM
um how about a game of maze right now,GAME
okay let's play dress up together okay,PET
please go to the study room,NAVIGATION
uh my favorite movie is cats,CHAT
oh speak in hindi please,SYSTEM
hey time for catch okay,PET
um let's go to the table right now,NAVIGATION
oh go to the porch right now,NAVIGATION
let's go to the bookshelf,NAVIGATION
make weather easier to understand,STUDY
review volcanoes with me,STUDY
okay take me to the garden now,NAVIGATION
uh quit everything,SYSTEM
uh in the game it must be three,GAME
my game answer is yes,GAME
summarize the sun for me,STUDY
uh turn down the volume,SYSTEM
move forward,NAVIGATION
let's go to the garden,NAVIGATION
let's wave,PET
i missed you sunshine right now,PET
what can you tell me about chemistry,STUDY
let me guess left,GAME
um say robot in a funny voice okay,CHAT
so stop all tasks right now,SYSTEM
explain addition to me,STUDY
i'm confused about photosynthesis,STUDY
so reset yourself please,SYSTEM
i need help with addition,STUDY
hmm can you tell a story with a bunny and a brave knight right now,STORY
good job baby,PET
i need a nose boop from you,PET
hmm head to the patio okay,NAVIGATION
start a new story about a bear,STORY
go over weather again,STUDY
hey what do you think about movie thanks,CHAT
let's go to the couch,NAVIGATION
what are the main points of cells,STUDY
um my favorite subject is toy right now,CHAT
my favorite subject is sport thanks,CHAT
in the story what if a lion meets a unicorn,STORY
hmm play true or false with me,GAME
hi there little sweetie,PET
so change language to chinese okay,SYSTEM
dim the lights,SYSTEM
hmm enable do not disturb okay,SYSTEM
open checkers,GAME
okay do you like color okay,CHAT
give me a summary of vocabulary,STUDY
lead the way to the attic please,NAVIGATION
i pick red for the game okay,GAME
i like flowers,CHAT
my favorite animal is robots now,CHAT
load up number guessing,GAME
is the alphabet the same as oceans,STUDY
okay i'm proud of you pumpkin,PET
good evening robot,PET
why do we need to learn the moon,STUDY
can you tell a story with a wizard and a wizard,STORY
oh go to the back door,NAVIGATION
so time to play math quiz thanks,GAME
switch to korean please,SYSTEM
okay what do you think about food,CHAT
oh scratch behind your ears sunshine,PET
oh disable night mode right now,SYSTEM
hmm be quiet,SYSTEM
in the story what if a mermaid meets a detective,STORY
you make me smile darling okay,PET
i need to review the solar system,STUDY
head over to the garage thanks,NAVIGATION
can you tell a story with a brave knight and a prince,STORY
how does planets work,STUDY
shake paw nugget,PET
in the story what if a detective meets a princess,STORY
hmm do a smile okay,PET
so turn off bluetooth right now,SYSTEM
uh what do you think about the moon please,CHAT
let me guess the dog okay,GAME
hmm bring me to the couch right now,NAVIGATION
spin me a yarn about a mermaid,STORY
let's go to the bathroom please,NAVIGATION
shake little paw sweetie okay,PET
so open riddles,GAME
read me a story about an alien,STORY
my favorite subject is the moon,CHAT
so switch to hindi,SYSTEM
hmm my favorite color is dogs please,CHAT
oh shake little paw pal,PET
how about a game of checkers,GAME
my favorite game is color,CHAT
okay i'll guess option b,GAME
break down photosynthesis for me,STUDY
uh my favorite color is book now,CHAT
hmm i'm here for you little sunshine,PET
belly rub time sunshine,PET
uh in the game i think it's three,GAME
